Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2023-12-12T16:03:51.000Z,image,"प्रतिनिधिसभा र रास्ट्रीयसभाको टिमबिच मैत्रीपूर्ण फुटबलको रोमाञ्चक अनुभव ! आज मंसिर २६ गते l

टिम क्याप्टेन प्रतिनिधिसभाको सभामुख देवराज घिमिरे र रास्ट्रीयसभाको अध्यक्ष गणेशप्रसाद तिमिल्सिना l `टिम स्पिरिट´ को भावना l भिन्न मजा, भिन्न अनुभुती l",,"https://pbs.twimg.com/media/GBKOCTlbkAAmWkS?format=jpg&name=small,https://pbs.twimg.com/media/GBKOCf3bcAAPpIh?format=jpg&name=small,https://pbs.twimg.com/media/GBKOCrjaYAAKaOt?format=jpg&name=900x900,https://pbs.twimg.com/media/GBKOC-GboAA_PLy?format=jpg&name=small",122,14,15
2023-12-12T12:12:43.000Z,video,"क्रमशः धुन बजाउँदै गुरु, `सुर´ चिन्दै र सुनाउँदै शिष्य !

बाबु शिर्षकप्रकाशको संगीत अध्ययनको एक छोटो परिक्षा ! आदरणीय गुरु प्रभुराज ढकालसँग l
Good बाबू, Go ahead...",,https://pbs.twimg.com/ext_tw_video_thumb/1734546776575836160/pu/img/8DLtoP9DgDIOvH_g.jpg,169,7,8
2023-12-06T21:08:31.000Z,image,"#Ncell ले `पुँजिगत लाभकर´ नतिर्ने प्रपन्च गर्दा त्यो बेला हामीले अघि बढाएको अभियानको नाम थियोे- #No_Tax_No_Ncell l दबाब र मुद्दापछि अन्ततः उ झुक्न बाध्य भयो !

अहिलेको प्रकरणमा सरकार र दलहरू कठोर हुन जरुरी l जनदबाबको स्वतस्फूर्त साथ फेरिपनी साथमा हुनेछ l

 त्यो बेलाको एक #तस्वीर",,https://pbs.twimg.com/media/GAsaOuIXkAA6_Jt?format=jpg&name=medium,29,2,4
2023-12-06T21:05:14.000Z,text,"बाह्य लगानीलाई नेपालमा सहज वातावरण नरहेको आक्षेप खारेज गर्न संगठित पहल गरौं l अत्यावश्यक ऎन संशोधन र परिमार्जन गरेर कार्यान्वयनमा नल्याउनुको कमजोरी आत्मसात गर्दै जवाफदेहीपुर्ण ढंगले कार्य गरौं l

बाह्य लगानीको थप सुरक्षीत वातावरण निर्माण गर्दै सकारात्मक सन्देश सम्प्रेषण गरौं l",,,17,,3
2023-12-06T21:03:54.000Z,text,"६ बर्षपछि सरकारको स्वामित्वमा आउन लागेको #Ncell को `खरिदबिक्री´ शंकास्पद छ l यसलाई रोकेर यो `अपार करछलि´को गहिरो अनुसन्धान जरुरी छ !

अनियमितता विरुद्ध सम्पुर्ण एकताको दृस्टीसाथ,
सरकार, प्रतिपक्ष, प्रेस र नागरिक सम्पुर्ण रुपले एकढिक्का उभिने संकेत सकारात्मक छ l",,,221,42,45
2023-11-22T18:31:49.000Z,text,"निरंकुशतामा निरंकुशता विरुद्ध प्रदर्शन गर्न पाइन्न थियो,किनकि त्यो निरंकुशता थियो l लोकतन्त्रमा लोकतन्त्रको पनि विरोधमा प्रदर्शन गर्न पाइन्छ, किनकि यो लोकतन्त्र हो !

एकदर्जन प्रदर्शन एकसाथ गर्न मिल्छ,गरौं l
तर संयम राखौं l परिपक्व अनि जिम्मेवार व्यवहार प्रस्तुत गरौं l जय नेपाल !",,,515,82,152
2023-11-16T06:46:12.000Z,text,"सरकारको कुनै कामको समर्थन विपक्षले गर्नसक्छ,
कुनै कामको विरोध सत्तापक्ष भित्रैबाट हुनसक्छ, लोकतन्त्रमा व्यक्तिको विवेक सबै सत्ताभन्दा सर्वोपरि हुन्छ l

सरकार र पार्टी दुई अलग अस्तित्व हुन्, बुझ्नेलाई श्रीखण्ड, नबुझ्नेलाई खुर्पाको बिँड l जय नेपाल !",,,410,77,119
2023-11-15T12:02:53.000Z,image,"प्रस्तुत `डिजाइन´ मा हामीले निर्माण गरेको `मोडल´ तपाईंलाई काम लाग्नसक्छ l

२ दक्ष मिस्त्री,९ स्वयंसेवक,समय ६ घण्टा l लागत ३५ देखि ४० हजार रुपैयाँ l केही आदरणीय साथिले अस्थायी टहरा बनाउन राख्नुभएको जिज्ञासाका कारण यो विवरण पोस्ट गरेको छु l

#मानवताको_सेवा_जीवनको_सर्वोत्तम_कार्य",,"https://pbs.twimg.com/media/F--T7P5bQAA0Y7z?format=jpg&name=small,https://pbs.twimg.com/media/F--T80-bkAA4D3F?format=jpg&name=900x900,https://pbs.twimg.com/media/F--T9CIbYAEaydk?format=jpg&name=small,https://pbs.twimg.com/media/F--T9tBb0AA-NQm?format=jpg&name=900x900",198,38,27
2023-11-13T10:27:49.000Z,text,"आज #टिकटक बन्द, भोलि फेसबुक बन्द, पर्सि कसैले भनिदेला लोकतान्त्रिक शासन प्रणालीले देश बिग्रीयो भनेर तब के गर्ने लोकतान्त्रिक प्रणालीनै भंग गरिदिने  ?

सरकार स्पष्ट होस्, राज्यले `स्वच्छन्दता´ नियन्त्रण गर्ने हो `स्वतन्त्रता´ नियन्त्रण गर्ने होइन !",,,66,14,14
2023-11-13T09:42:54.000Z,text,"टिकटक मनोरञ्जनको साझा स्टेज बनेको छ l कलाकार जन्माएको छ l Live बाट कयौंले कमाएका छन् l व्यवसाय प्रवर्द्धन गरेका छन् l
कयौंले सकारात्मक सम्प्रेषण गरेका छन् l

दुरुपयोग जो जसले गरे, तिनलाई निरुत्साहित र नियन्त्रणको कडा बिधि बनाउ l तर टिकटक बन्दको निर्णय अविलम्ब फिर्ता लेउ !",,,83,24,19
2023-11-13T09:36:25.000Z,text,"सामाजिक-धार्मिक सहिष्णुताको रक्षा समाजको आत्मानुशासन र सरकारको शुसासनले हुने हो l सामाजिक संजाललाई आत्मानुशासनमा कसरी ल्याउने, खुला छलफल गरौं, तार्किक निष्कर्ष पहिल्याऔँ र पालना गरौं !

प्रश्नको मुहान बन्द गरेर सहि जवाफ खोज्न सकिन्न सरकार l टिकटक बन्दको निर्णय अविलम्ब फिर्ता गर l",,,60,9,4
2023-11-13T09:10:59.000Z,text,"गर्धनमा पिलो आयो भने गर्धननै काट्ने  ? कि जोखिम रहित उपचार खोज्ने ?

द्वेष फैलाउनेलाई पहिचान गर, नियम बनाइ बन्द गर, No comment l तर एउटा बिराउने साह्रा पिराउने ढंगले समग्र टिकटक बन्द गर्ने सोच अलोकतान्त्रिक छ l यो निर्णय अविलम्ब फिर्ता होस् l",,,455,95,119
2023-11-11T15:58:16.000Z,video,"हामीले शुरु गर्‍यौं `#१०००_टहरा_अभियान´ !

मंसिर मसान्तभित्र हजारौं अस्थायी टहरा बनाइसक्न जरुरी छ, जाजरकोट र पश्चिम् रुकुमका भुकम्प पीडितका लागि !

स्थायी घर बनाउन लाग्ने समयसम्मका लागि आउनोस् अस्थायी टहरा निर्माणमा जुटौं l राजनैतिक विवाद पछि गरौंला, अहिले मानवताको सेवामा जुटौं !",,https://pbs.twimg.com/ext_tw_video_thumb/1723368355006988288/pu/img/6Aybkd7nQb0HnU33.jpg,692,107,170
2023-11-04T04:47:28.000Z,image,"उद्धार, राहत  र पुनर्स्थापनाका लागि सरकारको कोषमा नेपाली काँग्रेसका तर्फबाट ५०,००,०००।–  (पचास लाख) उपलब्ध गराउने निर्णय गरिएको छ l

स्वदेश र विदेशमा रहेका सबैलाई तन, मन र धनका साथ खुला हृदयले मानवीय सेवाको अभियानमा जुट्न नेपाली काँग्रेस हार्दिक अपील गर्दछ l",,https://pbs.twimg.com/media/F-EG0EcagAAtTdv?format=jpg&name=medium,250,59,50
2023-09-19T05:35:44.000Z,text,"दलहरुमा फरक विचार र विचार समुह हुनु स्वभाविक हो l काँग्रेसमा पनि छ / छन् l यो अभ्यासलाई हार्दिक ढंगले लिइनुपर्छ !

तर अहिलेको समय महासमितिबाट निति, गति र मति उपर साझा दृस्टी निर्माणको समय हो l यो कर्ममा महामन्त्रीले संयोजन र सम्पादन गर्नुपर्ने जरुरी बिषयहरुप्रती सजग छु / रहनेछु l",,,52,6,7
